,11000,서울,Unnamed: 2
0,11110,,서울 종로구
1,11140,,서울 중구
2,11170,,서울 용산구
3,11200,,서울 성동구
4,11215,,서울 광진구
5,11230,,서울 동대문구
6,11260,,서울 중랑구
7,11290,,서울 성북구
8,11305,,서울 강북구
9,11320,,서울 도봉구
10,11350,,서울 노원구
11,11380,,서울 은평구
12,11410,,서울 서대문구
13,11440,,서울 마포구
14,11470,,서울 양천구
15,11500,,서울 강서구
16,11530,,서울 구로구
17,11545,,서울 금천구
18,11560,,서울 영등포구
19,11590,,서울 동작구
20,11620,,서울 관악구
21,11650,,서울 서초구
22,11680,,서울 강남구
23,11710,,서울 송파구
24,11740,,서울 강동구
25,26000,부산,
26,26110,,부산 중구
27,26140,,부산 서구
28,26170,,부산 동구
29,26200,,부산 영도구
30,26230,,부산 부산진구
31,26260,,부산 동래구
32,26290,,부산 남구
33,26320,,부산 북구
34,26350,,부산 해운대구
35,26380,,부산 사하구
36,26410,,부산 금정구
37,26440,,부산 강서구
38,26470,,부산 연제구
39,26500,,부산 수영구
40,26530,,부산 사상구
41,26710,,부산 기장군
42,27000,대구,
43,27110,,대구 중구
44,27140,,대구 동구
45,27170,,대구 서구
46,27200,,대구 남구
47,27230,,대구 북구
48,27260,,대구 수성구
49,27290,,대구 달서구
50,27710,,대구 달성군
51,28000,인천,
52,28110,,인천 중구
53,28140,,인천 동구
54,28177,,인천 미추홀구
55,28185,,인천 연수구
56,28200,,인천 남동구
57,28237,,인천 부평구
58,28245,,인천 계양구
59,28260,,인천 서구
60,28710,,인천 강화군
61,28720,,인천 옹진군
62,29000,광주,
63,29110,,광주 동구
64,29140,,광주 서구
65,29155,,광주 남구
66,29170,,광주 북구
67,29200,,광주 광산구
68,30000,대전,
69,30110,,대전 동구
70,30140,,대전 중구
71,30170,,대전 서구
72,30200,,대전 유성구
73,30230,,대전 대덕구
74,31000,울산,
75,31110,,울산 중구
76,31140,,울산 남구
77,31170,,울산 동구
78,31200,,울산 북구
79,31710,,울산 울주군
80,36110,세종,
81,41000,경기,
82,41110,,경기 수원시
83,41111,,경기 수원시 장안구
84,41113,,경기 수원시 권선구
85,41115,,경기 수원시 팔달구
86,41117,,경기 수원시 영통구
87,41130,,경기 성남시
88,41131,,경기 성남시 수정구
89,41133,,경기 성남시 중원구
90,41135,,경기 성남시 분당구
91,41150,,경기 의정부시
92,41170,,경기 안양시
93,41171,,경기 안양시 만안구
94,41173,,경기 안양시 동안구
95,41190,,경기 부천시
96,41210,,경기 광명시
97,41220,,경기 평택시
98,41250,,경기 동두천시
99,41270,,경기 안산시
100,41271,,경기 안산시 상록구
101,41273,,경기 안산시 단원구
102,41280,,경기 고양시
103,41281,,경기 고양시 덕양구
104,41285,,경기 고양시 일산동구
105,41287,,경기 고양시 일산서구
106,41290,,경기 과천시
107,41310,,경기 구리시
108,41360,,경기 남양주시
109,41370,,경기 오산시
110,41390,,경기 시흥시
111,41410,,경기 군포시
112,41430,,경기 의왕시
113,41450,,경기 하남시
114,41460,,경기 용인시
115,41461,,경기 용인시 처인구
116,41463,,경기 용인시 기흥구
117,41465,,경기 용인시 수지구
118,41480,,경기 파주시
119,41500,,경기 이천시
120,41550,,경기 안성시
121,41570,,경기 김포시
122,41590,,경기 화성시
123,41610,,경기 광주시
124,41630,,경기 양주시
125,41650,,경기 포천시
126,41670,,경기 여주시
127,41800,,경기 연천군
128,41820,,경기 가평군
129,41830,,경기 양평군
130,42000,강원,
131,42110,,강원 춘천시
132,42130,,강원 원주시
133,42150,,강원 강릉시
134,42170,,강원 동해시
135,42190,,강원 태백시
136,42210,,강원 속초시
137,42230,,강원 삼척시
138,42720,,강원 홍천군
139,42730,,강원 횡성군
140,42750,,강원 영월군
141,42760,,강원 평창군
142,42770,,강원 정선군
143,42780,,강원 철원군
144,42790,,강원 화천군
145,42800,,강원 양구군
146,42810,,강원 인제군
147,42820,,강원 고성군
148,42830,,강원 양양군
149,43000,충북,
150,43110,,충북 청주시
151,43111,,충북 청주시 상당구
152,43112,,충북 청주시 서원구
153,43113,,충북 청주시 흥덕구
154,43114,,충북 청주시 청원구
155,43130,,충북 충주시
156,43150,,충북 제천시
157,43720,,충북 보은군
158,43730,,충북 옥천군
159,43740,,충북 영동군
160,43745,,충북 증평군
161,43750,,충북 진천군
162,43760,,충북 괴산군
163,43770,,충북 음성군
164,43800,,충북 단양군
165,44000,충남,
166,44130,,충남 천안시
167,44131,,충남 천안시 동남구
168,44133,,충남 천안시 서북구
169,44150,,충남 공주시
170,44180,,충남 보령시
171,44200,,충남 아산시
172,44210,,충남 서산시
173,44230,,충남 논산시
174,44250,,충남 계룡시
175,44270,,충남 당진시
176,44710,,충남 금산군
177,44760,,충남 부여군
178,44770,,충남 서천군
179,44790,,충남 청양군
180,44800,,충남 홍성군
181,44810,,충남 예산군
182,44825,,충남 태안군
183,45000,전북,
184,45110,,전북 전주시
185,45111,,전북 전주시 완산구
186,45113,,전북 전주시 덕진구
187,45130,,전북 군산시
188,45140,,전북 익산시
189,45180,,전북 정읍시
190,45190,,전북 남원시
191,45210,,전북 김제시
192,45710,,전북 완주군
193,45720,,전북 진안군
194,45730,,전북 무주군
195,45740,,전북 장수군
196,45750,,전북 임실군
197,45770,,전북 순창군
198,45790,,전북 고창군
199,45800,,전북 부안군
200,46000,전남,
201,46110,,전남 목포시
202,46130,,전남 여수시
203,46150,,전남 순천시
204,46170,,전남 나주시
205,46230,,전남 광양시
206,46710,,전남 담양군
207,46720,,전남 곡성군
208,46730,,전남 구례군
209,46770,,전남 고흥군
210,46780,,전남 보성군
211,46790,,전남 화순군
212,46800,,전남 장흥군
213,46810,,전남 강진군
214,46820,,전남 해남군
215,46830,,전남 영암군
216,46840,,전남 무안군
217,46860,,전남 함평군
218,46870,,전남 영광군
219,46880,,전남 장성군
220,46890,,전남 완도군
221,46900,,전남 진도군
222,46910,,전남 신안군
223,47000,경북,
224,47110,,경북 포항시
225,47111,,경북 포항시 남구
226,47113,,경북 포항시 북구
227,47130,,경북 경주시
228,47150,,경북 김천시
229,47170,,경북 안동시
230,47190,,경북 구미시
231,47210,,경북 영주시
232,47230,,경북 영천시
233,47250,,경북 상주시
234,47280,,경북 문경시
235,47290,,경북 경산시
236,47720,,경북 군위군
237,47730,,경북 의성군
238,47750,,경북 청송군
239,47760,,경북 영양군
240,47770,,경북 영덕군
241,47820,,경북 청도군
242,47830,,경북 고령군
243,47840,,경북 성주군
244,47850,,경북 칠곡군
245,47900,,경북 예천군
246,47920,,경북 봉화군
247,47930,,경북 울진군
248,47940,,경북 울릉군
249,48000,경남,
250,48120,,경남 창원시
251,48121,,경남 창원시 의창구
252,48123,,경남 창원시 성산구
253,48125,,경남 창원시 마산합포구
254,48127,,경남 창원시 마산회원구
255,48129,,경남 창원시 진해구
256,48170,,경남 진주시
257,48220,,경남 통영시
258,48240,,경남 사천시
259,48250,,경남 김해시
260,48270,,경남 밀양시
261,48310,,경남 거제시
262,48330,,경남 양산시
263,48720,,경남 의령군
264,48730,,경남 함안군
265,48740,,경남 창녕군
266,48820,,경남 고성군
267,48840,,경남 남해군
268,48850,,경남 하동군
269,48860,,경남 산청군
270,48870,,경남 함양군
271,48880,,경남 거창군
272,48890,,경남 합천군
273,50000,제주,
274,50110,,제주 제주시
275,50130,,제주 서귀포시
